original_tweet,sentiment_result
,
semangat sekolah meskipun ptm,5
,
oiyaa aku lupa ada ptm,7
,
pagi sender ptm jadi,2
,
kasus covid meningkat kaji ulang ptm penghentian ptm merupakan opsi lakukan berbasis kajian,-8
,
aku mager sekolah bukan masalah kejepit liburnya cuma aku dari lalu sudah ptm,4
,
thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm,10
,
first ptm setelah hampir lebih cuma sampai jam set lamanya berasa banget udah kayak setengah,-7
,
sekalian pjj aja soalnya kalau ptm aku asik ga mood sekolah jadi xixi,7
,
ptm lagi anjing,-7
,
setengah ptm setengah pjj,-6
,
 jogja kembali berlakukan ptm persen setelah beberapa siswa positif semoga segera landai lagi,9
,
eh ada info kalau besok sesi lagi alias ptm,-4
,
positif jadi terus jadii ptm sama guru guru jadi lebih sering sidak prokes dadakan,19
,
pengennya ptm,0
,
aku sekolah bilangnya dari prov jateng bukan pjj tanya ptm kurangi jadi pjj,4
,
daring lagi gua ptm belum pernah,-6
,
aku jakarta ptm ga jadi pjj sisanya ptm sekolah lain,0
,
ga deng wkwk mulai besok ptm lagi gue suka ptm really really fun tho,-2
,
sekolah kalbar ptm mungkin kedepannya ptm,2.25
,
bekasi dari pusat nder sebenernya ptm balik lagi,-6
,
gatau katanya mau balik ptm,0
,
ptm menurutku gak efisien sekelas sama jadi pasti ngelanggar prokes kaya gak jaga jarak,7
,
woi sekolahku tiba tiba jadi ptm persen lagi njir gue ga sesi anjing,-10
,
sudah seneng ptm tau bikin samoga jadi daring lagi,4
,
gue gamau pjj gamau ptm maunya ptm aja,-11
,
eh sama gua kalau ptm suka mata pelajaran mtk kimia sama pjok soalnya olahraga sisanya kabur kantin,-2
,
kesel ptm mulai besok,-4
,
mulai ptm lagi,-2
,
sekolah daring lagi udah nyaman sama ptm setidaknya masuk sekolah,7
,
mending pjj gasih kalau kaya soalnya kalau ptm sedikit waswas,-1
,
kalau ga bolehin pjj yaudah jadi aja maksa banget mau ptm,3
,
balik full pjj atau pjj sama ptm ptm udah vaksin dua jadi,2
,
dom serang ptm untungnya belum ada omongan bakal pjj kalau jangan,-9
,
gatau soalnya dari bukanya ptm sampai kasus sekolah gua semoga,4
,
aaaaaa besok ptm lagi huhu ga seru bangett kemarin udah ptm,-10
,
wih ptm full punya udah balik lagi,-3
,
kayanya cuma sekolahku jadi deh malang entah bener ngga soalnya sekolahku sekarang,0
,
aku balik ptm jadi masuknya gantian lagi,-3
,
karena ptm kantin buka kantin tutup alhamdulillah aman aja,-5
,
jujur gue seneng seneng jadi karena full ptm full ptm udah suruh lagi anjing,-1
,
kalau punyaku besok mulai ptm lagi gak tau,1
,
eh asik aku jadinya ptm karena sama tetangga ada positif mungkin  sekolahku ada,12.75
,
pengen ptm lagi,0
,
sial sekolahku ptm lagi,-8
,
jadi ptm pelajaran produktif aja kayak praktikum sama tambah mtk pjok bk,9
,
sekolah aku gaada covid ptm terus deh kalau mah ngeri circle,-3
,
pjj selang seling kak jadi sama jadi ptm pjj aku dapetnya anjir males,4
,
sudah nyaman ptm mau ptmt huft,14
,
moots bukan mau nakut nakutin omicron emang cuepet nyebarnya salah teman  fb anaknya sd,-6
,
anjing sekolah gak adil banget njir ptm lagi ganjil genap kemarin genap sampai jam terus besok ganjil,-10
,
balik lagi nder jadi sehari ptm pjj,-5
,
anjir balik lagi ptm,-5
,
sedang merasakan indahnya ptm eh malah ubah jadi ptm tai tai,-9
,
gue ptm lagi nder,-6
,
ptm wfh aja selamat dong anak jangan pekerja aja selamatkan,3
,
gue pengen pjj ptm,0
,
jogja kembali berlakukan ptm persen setelah beberapa siswa positif semoga segera landai lagi,9
,
jujur pengen ptm bukan karena gue takut jadi buka masker,13
,
sekolahku besok mau uji coba pake sistem hybrid ptm pjj karena ada siswa sekolah sebelah,6
,
sender sudah ptm disesi ya allah sender masuk jam seharusnya sesi jam sesi protes,8
,
aaaaaaa mau ptm lagi jogja,2
,
dih anjing ptm lagi,-7
,
iya deh kayaknya  sekolah aku jadi banyak izin kelas aku masuk,-2
,
semoga ptm aja,1
,
hadeh emang serba salah ngadain ptm masa sekarang kalau terusin pjj materi paham ptm cuma,-9
,
memang paling bener ptm ga full online full offline,14
,
jujur agak seneng ptm soalnya gajadi penilaian olahraga aku gabisa coy nangis,1
,
 sekolah anakku depan mulai online kebijadikan ambil karena kepseknya positif adeknya,0
,
plis ptm lagi kayak jangan,-10
,
ptm setengah hope gak pjj lagi ya,-2
,
sekolah aku ptm semoga jadi gak pjj,6
,
anak sekolah sudah ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu suatu sekolah,3
,
sama dom lagi cuma doang tapi aku bersyukur sama sekali ga ptm malah lebih sedih,6
,
ptm doang aku jadi mager sekolah,3
,
stay safe ptm ga enak banget,-4
,
sekolahku mulai full ptm gara gara omicron depan mulai lagi,-9
,
aku tipe belajar diskusi aku gapunya temen skusi jadi belajarnya bentar aja,6
,
penting ptm ditunda kantor wfh atau wfh lebih,2
,
sebenernya takut ptm jujur ngga mau pjj anjir gila kalau pjj lagi mending aja,4
,
ptm kalau ptm main circle kalau udah ketemu sekelas semua seru jadi mending,4
,
ptm bentar lama lama pjj amin,-5
,
wah sebetulnya aku ngerti papamu ngga bolehin soalnya omicron emang lagi ngejamur banget,8.75
,
prefer karena situasi sepenuhnya memungkinkan aku sudah ptm asli sebenernya enakan ptm materi,7
,
belum pernah ptm aku pengen ngerasain ptm soalnya temen temen aku kenal ada  sesi,14
,
ptm enak agak sepi,1
,
awalnya soalnya lebih sedikit lebih tenang ternyata seruan ptm banyak temen kelas saya,1
,
biar ada istirahat aku suka rame angkatan sekolah ptm,8
,
semoga besok ga lagi deh ptm,3
,
ptm sumpah lebih tenang,10
,
ptm karena sesi lain banyak masalah gak mau kebawa bawa,-13
,
tergantung kalau mending pjj jadi sekalian semua soalnya kalau setengah daring,-5
,
engga pengennya ptm jadi kaya sekarang soalnya selain karena pandemi tren kasus,9
,
soalnya kalau ptm fisik kerasa banget capeknya kalau pjj capek mental,2
,
aku mau ptm mau alias gue dah capek sekali anjir sekolah daring tau lagi,10.5
,
enakan ptm tugasnya ga terlalu banyak pjj enak lebih santai tugasnya video jadi mending,22
,
kebanyakan kelompok presentasi kalau ptm paham materi kalau pjj,-8
,
kelasku jadi izin ada gara sekolahku balik lagi ptm alhamdulillah aku udah sembuh,3
,
ptm soalnya kalau ptm susah bagi waktu,-3
,
ptm sekarang tugas kelompoknya much seringnya kerja  sekolah nugas rumah pr,7
,
sering banget beda pendapat berasa beda kelas bercircle aku ngerasa kurang adil soalnya,-2.25
,
gamau pengennya ptm  cuma kalau gakuat bangett rasanya kelas penuh sekolah penuh,-14
,
soalnya ptm cuma doang kalau asik jadi deh,1
,
ptm lagi males,-7
,
sekolah gua ptm  sekolah lain udah  kasih surat buat pjj sekolah gue belum sekolah gue udah kayak tahu,3
,
gue mau cerita kemarin gue ptm kabar baik gue sudah mulai akrab sama temen se sesi gue,12
,
sebenernya lebih enakan ptm jadi sekalian capek ptm pulangpulang mesti sekolah lagi,21
,
anak sekolah sdah ptm mohon pe imbangkan lagi buat ptm dahulu jangan menunggu  suatu sekolah,-2
,
jika angka kasus  jadika a semakin naik level ppkm jadi level maka otomatis ptm batasi maksimal persen,-12
,
way sekolah gue emg belum ptm  karena kemarin ada positif inimah gue yakin gabakal ptm,-1
,
awalnya mau ptm gue ngeluh karena pasti bakal berisik gue udah nyaman begitu jadilanin,-8.75
,
ptm sepi banget gue se sesi sama temen gue ptm rame banget kalau nunggu jemputan,-2
,
ngga ptm cuma abis lagi huhu,-5
,
anak sekolah sdah ptm mohon pe imbangkan lagi buat ptm dahulu jangan menunggu  suatu sekolah,-2
,
belum ada info resamai rumornya pro sebelah bakalan pake sistem gilir ptm sampai ut,-6
,
kalau ptm mah mending pjj,1
,
bener kata tiara kelas stress ptm kalau ptm full coba,-3
,
aku biasanya terus kemarin ada coba ptm malah pusing nder biasanya sepi krikkrik jadi rameberisik,2
,
pengen balik ptm lagi tolong,0
,
karena hampir setengah sudah ptm jadi udah menyesuaikan diri sama sesi,1
,
gue jadi terlihat oleh guru soalnya kelasan gua bacot banget babi berisik orangnya cari muka,-6
,
ptm bener efektif menurut  gue,9
,
ptm enak karna materi masuk otak interaksi langsung sama temen amp guru pjj enak,22
,
adek aku jadii ptm sekarang karena temannya masalahnya orngnya sekolah kasian sama teman lain,-2
,
menurut aku nggak semenjak ptm tugas hampir berkurang menurut aku kalau pjj tugas karena aman,3
,
ptm seru bangett  capeknya kalau pjj capek langsung tiduran,7
,
sejujurnya ngga kalau capek kalau gurunya bagi diri secara adil bagi ptm,13
,
ptm biar deket sama semua teman kelas kalau bagi sesi jadi kenal jadi canggung,-2
,
ptm tidak maunya cuma supaya lebih dekat sama teman teman ikut ptm,-3
,
pengen pengen gue maunya kaya kemarin soalnya semenjadik ptm tugas kelompok gue makin nga,-2
,
persen soalnya temen gua  sesi semua gua  sesi dua kalau ptm kayak gaenak jadiuh jadiuhan bener duduknya,-13
,
buatku lebih enak ptm,6
,
sama kayak sekolahku walau ptm ada positif malah sekolahku rencananya mau ptm depan,9
,
ptm gua sanggup kayaknya kalau ptm,-5
,
sedih banget masa ptm lagi,-7
,
wkwk gak pengen ptm lagi aja,-5
,
ternyata ada untungnya ptm tiap jadi ikut takut kalau ptm,2
,
ptm kalau ptm penyampaian materinya ngga sama rata kelas gue  jadi udah ngerasain,-8
,
enakan jelas ptm  rumah kaya dongo,11
,
gamau maunya jadi soalnya lebih fokus anak anak kelas gua ptm berisik banget sampai guru marah,-13
,
yeah ptm alhamdulillah,5
,
ga pengen ptm aja jadi tetep ada sesi engga gabung,-2
,
gasih ptm aja,1
,
mungkin aku tugas ptm ga ngotak parah,-3
,
sama nder aku ptm nyaman,9
,
ptm karena rame lebih mudah ngerti materinya,4
,
udah semester ptm way semangatt sender semoga nilainya memuaskan,5
,
ptm sering deg degan setelah ptm jadi enggak paling kadang males jadi kalau ada mata pelajaran,7
,
sekolahku ptm gak wajib boleh ptm boleh ngga banyak milih gak ptm jadi takut banget,2
,
berat badan gue biasanya sebenernya felt confident bsegitu badan gue bagus know th,-9
,
sama bgtt beberapa sekolah nerapin pasti ada jadi kena kebijadikan beberapa sekolah langsung pt,24.5
,
udah melakukan daring buat anak walau sekolah memaksakan ptm setelah sebelumnya komitmen sekola,-4
,
nihh ptm pjj,-3
,
yadongg ptm jadi lebih cpet pulangnya yhahhaa iri loe,-2
,
anakku ptm capt online dari rumah,-1
,
menurut saya jangan hentikan ptm persen tetapi pemda ,0
,
makin melonjadiknya kasus harian akibat varian omicron tambah subvarian lbh baik,-10
,
  kurang dari sebulan ptm persen adakan banyak sekolah tutup akibat kasus penularan perhimpunan penkan gu,-4.5
,
kurang dari sebulan ptm persen adakan banyak sekolah tutup akibat kasus penularan perhimpunan penkan,-4.5
,
itulah selama status pandemi belum cabut seharusnya sekolah ptm tetap kembalikan keputusan pd,0
,
ptm pjj wkwkwk alias ptmt lagi,0
,
  jadi seingat saya kalau kasusnya naik ppkmnya naik turun dari persen kalau naik lagi turun,-4
,
jadi seingat saya kalau kasusnya naik ppkmnya naik turun dari persen kalau naik lag,-2
,
beberapa daerah langsung berani ptm dah daerah gue anjr,-3
,
seh aku hampir samaa sekolah full siswa sama guru cuma sehari bersihbersih kela,11
,
pjj ptm oke kalau,1
,
jujur pjj lebih efektif ptm jadi efektif,16
,
  menkes bu guna kalau kasusnya naik ptm persen turun jadi,5
,
  menkes bu guna kalau kasusnya naik ptm persen turun jadi,5
,
  menkes bu guna kalau kasusnya naik ptm persen turun jadi,5
,
menkes bu guna kalau kasusnya naik ptm persen turun jadi,5
,
saran sangat baik dari perhimpunan penkan guru pg berada  ujung tombak penkan semoga gubern,16
,
seharian isinya sambat mulu ttg tugas sekolah emang secapek pulang ptm jam lanjut kerjadi,6
,
ahh shit binder catetan mtk gue ketinggalan  laci kelas bsk sekolah lagi gegara balik lagi ptm,-24
,
hhmmmxfxfxax yth prof ptm siswa  pekanbaru samap,3
,
kayaknya otomatis liburin dehh tetep ptm soalnya tempetku gituu stay safe waa,-1
,
susah hindari dok bekasi ptm wfo,1
,
  sebagai ibuk suka memantau kepatuhan prokes  sekolah aktif memantau kesiplinan nakes,8
,
sebagai ibuk suka memantau kepatuhan prokes  sekolah aktif memantau kesiplin,8
,
tiga siswa terpapar covid ptm turun persen via,6
,
stress ptm mau back,0
,
jangan sampai minimal mah ptm sisanya pjj jangan terusan pjj anjir,-8
,
gaada nder aku ptm,-1
,
kasus covid kembali melonjadik asosiasi guru desak ptm cukup persen,-4
,
sekolah tutup karena covid pg mendesak anies ptm persen,-4
,
kasus naik asosiasi guru desak ptm persen,-10
,
srianava daerah sichkalau cilacap jaditeng ptm  bagi dua sift masuknya,3
,
ptm jadi masuk sakit muridnya wkwkk,-7
,
gue uda gila gue gila banget gue butuh pjj atau ptm absen gue udah tahan sega,-10
,
sejak anak sekolahan full ptm kerasa bangettt capeknya pp sda sby karena jalanan bener macet tiap pagi,-7
,
iya aku denger antara ada ptm atau ptm,3
,
apakah timingnya tepat  tengah melonjadiknya kasus harian covid ptm paksakan,-2
,
liat lapangan pelaksanaan aslinya kayak tiap balik sekolah ruwet kayak,-10
,
ptm soalnya kalau doang flop,-1
,
sama banget udah ptm sekarang pjj ptm,4
,
way sebelum ptm wali murid survey mau daring atau luring da,8
,
sekolah rin balik ptm gegara ada word terus rin milih buat masuk sekolah karena takut,-3
,
lalu udah gegara kabupaten level omicron jadinya buat ptm,1
,
ptm jadii jngn gue duduk jadii  depan,-3
,
kalau balik lagi kebijadikan masingmasing sekolah sekolahku menetapkan selama semester kemarin,-9
,
mulai mencium aroma aroma ptm,-2
,
aku masing ada kurang lebihnya pjj aku jenuh enak jadi lebih cape fisik ptm asik ketemu teman,12
,
males ngotorin seragam buang bensin soalnya cmn pensi doang jadi mending,-3
,
ptm mending kalau ada ulhar online semua jadi,1
,
ptm nder kelas sama gantian masuknya per udah bagi dua sesi selang seling sehari,2
,
jujur lebih suka ptm tapi temen gue beda sesi gue gapunya temen lagi  sesi sama kaya gue,-1
,
besok pengen ijin boleh gak ya ptm sudah aku gadapet duit tiap lagi serius lagi period enak banget,3
,
sender pengen pjj pengen ptm,6
,
balik ptm lagi karena ada,-6
,
ptm mending pjj,2
,
sekolah sender mau balik ptm lagi huhu udah enak full,7
,
evaluasi ketentuannya kalau  level katanya  balai kota dki jadika a sumbe,-3
,
bsk ptm lagi  ak galaux lagian kpn jadi banyak positif elah,2
,
ada temen sebangku karena ptm,0
,
kuliah ptm terbatas sedangkan tingkatan paud tk jelas ngatur ri ,5
,
anak anak sekolah jakarta rada khawatir karena ptm full kasus covid lagi,11
,
deh suka ptm karna ketemu crush pjj karna seru  rumah beljadir,12
,
assalamualaikum sehubungan naik angka covid  dki apakah layak ptm sementara,2
,
ngajadir sumpah capek banget wes mending entah semua pjj atau semua ptm asal jangan separoh,-5
,
terus ptm kasus udah tambah begini ko ptm  lanjutkankasian anak sement,2
,
kalau ga stop minimal jadi ptm,-8
,
besok gua ptm lagi anjir menggabut,-5
,
 guyss doain daerah tetap safe yaa biar sekolahku tetep jadilann walau cuma penting tetep ptm,-2
,
ptm asik,4
,
bekasi ketularan kayanya nanti ptm pula sudah suruh belajar dari rumah lagi jadi karena ada guru positif,0
,
ketentuannya kalau ppkm  level ptm turunkan jadi persen kata riza,1
,
ptm soalnya kalau menurutku kondusif banget kelasku benerbener serame,-1
,
kalau ptm kemarin cepet gegara mata kuliah doang terus jadiin ptm cuma sks sksnya lagi sisa tetep daring ,-12
,
pjj kemarin ptm enak sekarang gaenak cape,-2
,
ptm menjadi resiko penyebaran omicron anak terdampak,-9
,
alias gue udah pewe banget sama ptm,1
,
katanya mau ptm lagi wkwk ngabrut ngakak brutal,-6
,
emang udah bener ptm deh  ujung ujungnya bakal pjj semua lagi,-5
,
oiya gue soalnya lgi sekolah onlen klian udah ptm atau ptm,-1
,
udah ptm jadii kaya ptm pjj gituu,2
,
pjj kalau ptm minusnya terlalu banyak tugas sampai kelimpungan plusnya jadi lebih rajin kalau,16
,
kayaknya semua deh mungkin awal awal ketika ada siswa kena word jadi pjj lagi atau ptm,-1.5
,
sekolah sender mulai besok ptm lagi sedih banget lebih asik ptm,2
,
sekolahku malah ptm ih asalnya sekarng jadi,1
,
allah sehari ptm tau tau kakel gue positif,-2
,
aku justru mau ptm jadi sekolahku ptm soalnya aku tipe bakal rajin kalau liat langsung,17
,
pjj malah ptm semoga jangan deh,-3
,
jujur gue tambah stres ptm jelas,1
,
jadilan fine fine jadi soalnya jam doang tugasnya udah mulai tolong ud,11
,
ptm  kalau keadaan memungkinkan mending daring sekalian,1
,
jujur semisal sekolah aku udah ngadain ptm aku takut banget protokol sudah mulai kendali,19
,
besok ptm hadeh jadi aku dah terekan kalau,-5
,
kemarin kabarin ptm kabarin pjj,0
,
sedih besok sekolah lagi udah seneng ptm,0
,
pjj lagi mending ptm kasih jeda setiap sesi soalnya kalau balik pjj nilai,1
,
jangan ptm dong aku gabetah rumah,2
,
vaksin dosis tercapai sedikitar bagi guru tenaga penkan lainnya bagi masyarakat lain,9
,
wah padat bangetaaku ptm jadi udah cape huhu semangat,1.25
,
gantian wfh sekali eh sekarang total karena suite sebelah ada positif bocah,0
,
ptm njir udah agak gak tahan kalau,-2.5
,
kalau  sklh aku udah ptm full nder buat kelas doang sama,2
,
ahhh anjing males banget ptm,-7
,
kangen  enakan ptm,8
,
sekolahku balik lagi ptm kesel banget,-10
,
jujur gasiap ptm karenann gbs ketemu arif puput aaaa aku gabisa lendotan puput lagi gabisa ngakak ngakak sama arif lagi,6
,
udah  vaksin toh saran klise selama taat prokes pasti aman jadi,10.5
,
sekolah gue mau balik ptm lagi,-1
,
mending ptm please aku ptm  sekolah asli jangan sampai online lagi semangat beljadir aku,8
,
mau ptm lagi udah nyaman ptm hufftt,6
,
msih ptm pulangnya jam lagi ah elah,-3
,
berharap pjj ptm lagi,1
,
kembalikan ptm,0
,
sama sekolahku ptm,3
,
kalau akuu udah nyaman pjj cuma materi lebih nge i kalau ptm kalau km gimanaa kil,-1
,
aku malah pengen ptm soalnya bestie  sesi aku ptm malah em eman,6
,
pengen ptm lagi pls kelas brisik banget,-6
,
bener kalau ptm,2
,
jujur kalau pjj bakal enak teratur soalnya sekolahku pjj ptm kadang ada,18
,
cocok banget buat aku dikit dikit rasanya mau bolos malah aku tambah capek soalnya,10
,
sumpah kalau ptm gua bangunnya jam untung pjj,3
,
pls ptm lagi,-6
,
iya ptm rasanya capek banget,5
,
sekolah saya dah ada kena kemarin dah pjj ptm jadi lagi sampai seterusnya,-5
,
suka pjj suka ptm jadi,7
,
ptm cara lama harusnya sekolah wali murid adaptasi betul bahwa,6
,
anjing diumumin ptm langsung ganti cuk sekolah gue gegara kasus kopid naik lagi sial,6
,
sekolah gue kaga ptm jadi selang seling luring daring cuma sekolah temen gue ada kaya,4
,
ptm sepi banget kelas aku,-4
,
anjir ptm,-5
,
setuju kalau ptm gurunya mikir main jadi jadinya tugasnya tumpukin tambah ulangan lagiii,11
,
bisamaillah semoga ptm sekolahku besok jadi kembali sesi sesi plis bisamaillah amin,3
,
ptm jadi lebih baik ptm,5
,
seru ptm huhu aku ngga asik banget,4
,
aku mau ptm lagi day haha tadinya banyak setuju akhirnya eheheee,11
,
dih serius dah sumpah mending ptm asli anjir takut aku teh kangen sama temen,11
,
kesel gegara ptm msih sekarang ptm ubah udah jadi saya malah takut allah capek sama diri aing,2
,
kesel ptm jadi lagi udah seneng full loh,-2
,
sekolah gue ptm lagi anjing,-7
,
cape banget semoga jadi deh sekolah aku jadi lagi ptm,1
,
sekolahku udah stop ptm dari kemarin jadi sekarang persesi,0
,
semua gara polan jadi ptm lagi asu,-16
,
masih ptm berharap jadi boleh gak,7
,
lalu sekolahku ptn kemarin katanya gaboleh jadinya depan kembali ptm,-2
,
gatau deh nder sudah sekolah kelas ptm sekarang depan kelas sama ikut,-1
,
ptm bagi berdasarkan makan aduk gak diaduk,-4
,
ptm lagi,-3
,
cape anjir kalau ptm  sekolah isinya presentasi sama kuis dadakan sampai rumah ngerjain tugas  gc,-1
,
kalau ngasih info suka dadakan kadang berapa jam dikasih tau sekolahku awalnya ptm,2
,
besok sender bakal ptm takut banget aaaaaa bentar gak temenin nangis,0
,
sekolah gua agak mencla mencle kemarin full ptm ketiga ganti ptm,2.5
,
besok ptm algskdgelsbsldahld bolos jadi yaa mending jadi si,1
,
pantesan aja anjing gue ptm,-8
